id,longitude,latitude
916416296,77.1846422,28.6866949
916415622,77.1852691,28.6869351
916416119,77.1840535,28.6873853
918183801,77.1849624,28.6889514
918184242,77.1844736,28.6891916
916415368,77.1851897,28.681084
916416092,77.1850521,28.6810403
11190430907,77.1854681,28.6811734
916415903,77.1854845,28.6803293
916415386,77.1803045,28.6808277
916416189,77.1802178,28.6808369
916415426,77.1824701,28.6807698
916415504,77.1811155,28.6809995
916415545,77.1825364,28.6810365
916415719,77.1824462,28.6807036
916415428,77.1853911,28.6874008
916415565,77.1852693,28.6871803
916416205,77.1852567,28.6876143
916415465,77.1859115,28.6867729
916415597,77.1854889,28.6868536
916415467,77.1808567,28.6810316
916416248,77.1808461,28.6809829
916415954,77.1809758,28.6815307
916415469,77.1848828,28.6813212
918184578,77.1840345,28.682295
916415480,77.1841613,28.6876019
916416226,77.1835305,28.6878488
8985866465,77.1842758,28.6878071
916416363,77.1843642,28.686488
918184171,77.1862041,28.6845758
916415715,77.1810959,28.6809393
916416330,77.1811698,28.6812458
916415505,77.1837155,28.6882501
8985866464,77.1843683,28.6880084
918184183,77.1836222,28.6880477
918184318,77.1841537,28.6888904
916416237,77.1801391,28.6811063
916416008,77.1829586,28.6809572
916415914,77.1818014,28.6811146
916415547,77.1801952,28.6854471
918184154,77.1818256,28.6873423
916415569,77.1837583,28.6871276
918184579,77.183294,28.6867437
916415921,77.1859903,28.6878798
916416107,77.184774,28.6865603
918184250,77.1868467,28.6871313
916415753,77.1855914,28.6877354
918183879,77.1857823,28.6878045
916415968,77.1852425,28.6884098
916415797,77.1801619,28.6805927
916416244,77.1805432,28.6795239
10290779103,77.1823372,28.6801939
916415810,77.1856486,28.6885654
918183775,77.1854369,28.6884843
916415812,77.1858969,28.6865194
918184251,77.185337,28.6906785
916415866,77.1812328,28.6814715
9181776898,77.1860409,28.6801991
6738239661,77.1858742,28.6799019
2967529056,77.1810046,28.6816359
6657071904,77.1844728,28.6879697
918184484,77.1827887,28.687625
918184618,77.1831212,28.6880216
918184356,77.1830833,28.683511
